函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"std::_Wrap_alloc<std::allocator<char> >::deallocate",3,0.04,3,0.04,857,0,857,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::construct<std::_Tree_node<AutoCompleteManager::Entry,void *> *,std::_Tree_node<AutoCompleteManager::Entry,void *> * &>",3,0.04,3,0.04,868,0,868,0,
"std::allocator_traits<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::max_size",3,0.04,3,0.04,734,0,734,0,
"std::allocator_traits<std::allocator<unsigned int> >::select_on_container_copy_construction",3,0.04,3,0.04,740,0,740,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::construct",3,0.04,4,0.05,588,0,588,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Pdif",3,0.04,3,0.04,"2,266",0,"2,266",0,
"std::forward<std::_Container_proxy>",3,0.04,3,0.04,"1,506",0,"1,506",0,
"std::forward<std::_Tree_node<wxString,void *> * &>",3,0.04,3,0.04,"1,504",0,"1,504",0,
"std::less<AutoCompleteManager::Entry>::operator()",3,0.04,355,4.80,193,0,193,0,
"std::operator!=<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",3,0.04,3,0.04,900,0,900,0,
"std::operator!=<std::allocator<unsigned int>,std::allocator<unsigned int> >",3,0.04,3,0.04,900,0,900,0,
"std::regex_constants::operator&",3,0.04,3,0.04,171,0,171,0,
"std::vector<bool,std::allocator<bool> >::_Insert_n",3,0.04,48,0.65,"2,911",0,"2,911",0,
"std::vector<bool,std::allocator<bool> >::vector<bool,std::allocator<bool> >",3,0.04,62,0.84,"2,454",0,"2,454",0,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::max_size",3,0.04,3,0.04,"1,152",0,"1,152",0,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::size",3,0.04,3,0.04,"1,148",0,"1,148",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Destroy",3,0.04,3,0.04,"1,565",0,"1,565",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Reallocate",3,0.04,3,0.04,"1,587",0,"1,587",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::begin",3,0.04,3,0.04,"1,029",0,"1,029",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::end",3,0.04,3,0.04,"1,039",0,"1,039",0,
"std::vector<unsigned int,std::allocator<bool> >::_Construct_n",3,0.04,3,0.04,798,0,798,0,
"std::vector<unsigned int,std::allocator<bool> >::_Tidy",3,0.04,3,0.04,"1,622",0,"1,622",0,
"std::vector<unsigned int,std::allocator<bool> >::begin",3,0.04,3,0.04,"1,029",0,"1,029",0,
"std::vector<unsigned int,std::allocator<bool> >::resize",3,0.04,3,0.04,"1,119",0,"1,119",0,
"std::vector<unsigned int,std::allocator<bool> >::vector<unsigned int,std::allocator<bool> >",3,0.04,67,0.91,712,0,712,0,
"wxString::operator char const *",3,0.04,5,0.07,832,0,832,0,
"wxString::operator=",3,0.04,18,0.24,957,0,957,0,
"wxString::wxString",3,0.04,9,0.12,700,0,700,0,
"?Cmp@wxString@@QBEHPBD@Z",2,0.03,33,0.45,0,0,0,0,
"?data@wxStringBase@@QBEPBDXZ",2,0.03,2,0.03,0,0,0,0,
"?DoGetItem@wxTreeCtrl@@ABE_NPAUwxTreeViewItem@@@Z",2,0.03,2,0.03,0,0,0,0,
"?Eof@wxInputStream@@UBE_NXZ",2,0.03,10,0.14,0,0,0,0,
"?erase@wxString@@QAEPADPAD0@Z",2,0.03,34,0.46,0,0,0,0,
"?Release@wxCArrayString@@QAEPAVwxString@@XZ",2,0.03,12,0.16,0,0,0,0,
"?swap@wxStringBase@@QAEXAAV1@@Z",2,0.03,2,0.03,0,0,0,0,
"@ILT+100850(?_Mark@_Bitmap@std@@QAEXI@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+105810(?IsSymbol@@YA_ND@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+1410(?allocate@?$_Wrap_alloc@V?$allocator@U_Grp_t@?$_Tgt_state_t@PBD@std@@@std@@@std@@QAEPAU_Grp_t@?$_Tgt_state_t@PBD@2@I@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+19090(??D?$_Vb_iterator@U?$_Wrap_alloc@V?$allocator@I@std@@@std@@@std@@QBE?AV?$_Vb_reference@U?$_Wrap_alloc@V?$allocator@I@std@@@std@@@1@XZ)",2,0.03,2,0.03,0,0,0,0,
"@ILT+23845(?_Kfn@?$_Tree@V?$_Tset_traits@UEntry@AutoCompleteManager@@U?$less@UEntry@AutoCompleteManager@@@std@@V?$allocator@UEntry@AutoCompleteManager@@@4@$0A@@std@@@std@@IBEABUEntry@AutoCompleteManager@@ABU34@@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+30670(??MEntry@AutoCompleteManager@@QBE_NABU01@@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+32140(??0_Node_base@std@@QAE@W4_Node_type@1@W4_Node_flags@1@@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+34215(?_Getal@?$_Vector_alloc@$0A@U?$_Vec_base_types@U_Loop_vals_t@std@@V?$allocator@U_Loop_vals_t@std@@@2@@std@@@std@@QBE?AU?$_Wrap_alloc@V?$allocator@U_Loop_vals_t@std@@@std@@@2@XZ)",2,0.03,2,0.03,0,0,0,0,
"@ILT+34820(?c_str@wxStringBase@@QBEPBDXZ)",2,0.03,2,0.03,0,0,0,0,
"@ILT+36200(?allocate@?$allocator@U_Container_proxy@std@@@std@@QAEPAU_Container_proxy@2@I@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+47875(?_Next@?$_Parser@PBDDV?$regex_traits@D@std@@@std@@AAEXXZ)",2,0.03,2,0.03,0,0,0,0,
"@ILT+6220(?_Orphan_me@_Iterator_base12@std@@QAEXXZ)",2,0.03,2,0.03,0,0,0,0,
"@ILT+62675(?ConcatSelf@wxStringBase@@IAE_NIPBD@Z)",2,0.03,2,0.03,0,0,0,0,
"@ILT+71725(??0?$_Vb_const_iterator@U?$_Wrap_alloc@V?$allocator@I@std@@@std@@@std@@QAE@ABV01@@Z)",2,0.03,2,0.03,0,0,0,0,
"[COMCTL32.dll]",2,0.03,29,0.39,0,0,0,0,
"[GDI32.dll]",2,0.03,22,0.30,0,0,0,0,
"[user32.DLL]",2,0.03,"2,842",38.45,0,0,0,0,
"[USP10.dll]",2,0.03,2,0.03,0,0,0,0,
"_memcpy",2,0.03,2,0.03,0,0,0,0,
"_strlen",2,0.03,2,0.03,0,0,0,0,
"AutoCompleteManager::BuildFromFile",2,0.03,10,0.14,58,0,58,0,
"AutoCompleteManager::BuildFromFile",2,0.03,20,0.27,60,0,60,0,
"AutoCompleteManager::BuildFromFile",2,0.03,"2,649",35.84,69,0,69,0,
"IsSymbol",2,0.03,2,0.03,28,0,28,0,
"operator==",2,0.03,20,0.27,"1,563",0,"1,563",0,
"Project::GetNumFiles",2,0.03,2,0.03,300,0,300,0,
"std::_Allocate<std::_Tgt_state_t<char const *>::_Grp_t>",2,0.03,2,0.03,25,0,25,0,
"std::_Bitmap::_Bitmap",2,0.03,2,0.03,"1,592",0,"1,592",0,
"std::_Bt_state_t<char const *>::_Bt_state_t<char const *>",2,0.03,110,1.49,0,0,0,0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_char_to_bitmap",2,0.03,2,0.03,"3,688",0,"3,688",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",2,0.03,2,0.03,"3,741",0,"3,741",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",2,0.03,93,1.26,"3,743",0,"3,743",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Begin_capture_group",2,0.03,11,0.15,"3,915",0,"3,915",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Begin_if",2,0.03,5,0.07,"3,934",0,"3,934",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Begin_if",2,0.03,7,0.09,"3,938",0,"3,938",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_End_group",2,0.03,2,0.03,"3,867",0,"3,867",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_End_group",2,0.03,7,0.09,"3,872",0,"3,872",0,
"std::_Copy_impl<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *>",2,0.03,2,0.03,"2,043",0,"2,043",0,
"std::_Copy_impl<unsigned int *,unsigned int *>",2,0.03,2,0.03,"2,053",0,"2,053",0,
"std::_Debug_pointer<char>",2,0.03,2,0.03,545,0,545,0,
"std::_Debug_pointer<std::_Loop_vals_t>",2,0.03,2,0.03,555,0,555,0,
"std::_Debug_range<std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > > >",2,0.03,2,0.03,583,0,583,0,
"std::_Debug_range2<std::_Loop_vals_t *>",2,0.03,2,0.03,570,0,570,0,
"std::_Debug_range2<std::_Tgt_state_t<char const *>::_Grp_t const *>",2,0.03,2,0.03,570,0,570,0,
"std::_Debug_range2<std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > > >",2,0.03,2,0.03,570,0,570,0,
"std::_DebugHeapDelete<std::_Facet_base>",2,0.03,2,0.03,56,0,56,0,
"std::_Destroy_node",2,0.03,2,0.03,"1,647",0,"1,647",0,
"std::_Destroy_node",2,0.03,162,2.19,"1,653",0,"1,653",0,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<unsigned int> > >",2,0.03,2,0.03,97,0,97,0,
"std::_Fill<std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >,bool>",2,0.03,15,0.20,"2,601",0,"2,601",0,
"std::_Iterator_base12::_Adopt",2,0.03,2,0.03,165,0,165,0,
"std::_Iterator_base12::_Adopt",2,0.03,2,0.03,167,0,167,0,
"std::_Iterator_base12::_Adopt",2,0.03,50,0.68,168,0,168,0,
"std::_Iterator_base12::_Getcont",2,0.03,2,0.03,184,0,184,0,
"std::_Iterator_base12::_Getpnext",2,0.03,2,0.03,187,0,187,0,
"std::_Iterator_base12::_Orphan_me",2,0.03,2,0.03,198,0,198,0,
"std::_Iterator_base12::_Orphan_me",2,0.03,2,0.03,200,0,200,0,
"std::_Iterator_base12::operator=",2,0.03,2,0.03,125,0,125,0,
"std::_Iterator_base12::operator=",2,0.03,2,0.03,129,0,129,0,
"std::_Iterator_base12::operator=",2,0.03,10,0.14,137,0,137,0,
"std::_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>::_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>",2,0.03,52,0.70,0,0,0,0,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::_Do_rep",2,0.03,2,0.03,"4,186",0,"4,186",0,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::_Match_pat",2,0.03,2,0.03,"4,386",0,"4,386",0,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::_Match_pat",2,0.03,2,0.03,"4,592",0,"4,592",0,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::_Match_pat",2,0.03,2,0.03,"4,594",0,"4,594",0,
"std::_Node_end_group::~_Node_end_group",2,0.03,3,0.04,0,0,0,0,
"std::_Node_end_rep::~_Node_end_rep",2,0.03,4,0.05,0,0,0,0,
"std::_Node_endif::_Node_endif",2,0.03,2,0.03,"1,790",0,"1,790",0,
"std::_Node_endif::`scalar deleting destructor'",2,0.03,7,0.09,0,0,0,0,
"std::_Node_endif::~_Node_endif",2,0.03,3,0.04,0,0,0,0,
"std::_Node_if::~_Node_if",2,0.03,2,0.03,"1,805",0,"1,805",0,
"std::_Node_rep::_Node_rep",2,0.03,3,0.04,"1,859",0,"1,859",0,
"std::_Node_rep::~_Node_rep",2,0.03,2,0.03,0,0,0,0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Alternative",2,0.03,2,0.03,"5,420",0,"5,420",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_CharacterClass",2,0.03,2,0.03,"5,134",0,"5,134",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Compile",2,0.03,8,0.11,"5,532",0,"5,532",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Next",2,0.03,2,0.03,"4,894",0,"4,894",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Parser<char const *,char,std::regex_traits<char> >",2,0.03,90,1.22,"5,552",0,"5,552",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Quantifier",2,0.03,2,0.03,"5,366",0,"5,366",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Trans",2,0.03,2,0.03,"4,813",0,"4,813",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Trans",2,0.03,2,0.03,"4,821",0,"4,821",0,
"std::_Ptr_cat<unsigned int,unsigned int>",2,0.03,2,0.03,453,0,453,0,
"std::_Rechecked<unsigned int *,unsigned int *>",2,0.03,2,0.03,288,0,288,0,
"std::_Regex_base::_Regex_base",2,0.03,2,0.03,"2,213",0,"2,213",0,
"std::_Regex_traits<char>::_Regex_traits<char>",2,0.03,8,0.11,314,0,314,0,
"std::_Regex_traits<char>::length",2,0.03,2,0.03,305,0,305,0,
"std::_Root_node::`scalar deleting destructor'",2,0.03,16,0.22,0,0,0,0,
"std::_String_alloc<0,std::_String_base_types<char,std::allocator<char> > >::_Getal",2,0.03,3,0.04,685,0,685,0,
"std::_String_iterator<std::_String_val<std::_Simple_types<char> > >::~_String_iterator<std::_String_val<std::_Simple_types<char> > >",2,0.03,14,0.19,0,0,0,0,
"std::_String_val<std::_Simple_types<char> >::_Myptr",2,0.03,3,0.04,513,0,513,0,
"std::_Tree_buy<wxString,std::allocator<wxString> >::_Tree_buy<wxString,std::allocator<wxString> >",2,0.03,45,0.61,889,0,889,0,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::operator--",2,0.03,2,0.03,95,0,95,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Isnil",2,0.03,2,0.03,584,0,584,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Left",2,0.03,2,0.03,590,0,590,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Right",2,0.03,2,0.03,600,0,600,0,
"std::_Tree_val<std::_Tree_simple_types<wxString> >::_Color",2,0.03,2,0.03,578,0,578,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Insert_at<AutoCompleteManager::Entry,std::_Nil>",2,0.03,3,0.04,"1,869",0,"1,869",0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::insert",2,0.03,"1,726",23.35,"1,144",0,"1,144",0,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Buynode_if_nil<wxString const &>",2,0.03,2,0.03,"1,642",0,"1,642",0,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Rmost",2,0.03,2,0.03,"2,147",0,"2,147",0,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::end",2,0.03,2,0.03,"1,221",0,"1,221",0,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::lower_bound",2,0.03,2,0.03,"1,574",0,"1,574",0,
"std::_Uninit_copy<std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t *,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",2,0.03,2,0.03,414,0,414,0,
"std::_Uninit_copy<std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t *,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",2,0.03,2,0.03,371,0,371,0,
"std::_Uninit_move<std::_Loop_vals_t *,std::_Loop_vals_t *,std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> > >",2,0.03,2,0.03,482,0,482,0,
"std::_Uninit_move<unsigned int *,unsigned int *,std::_Wrap_alloc<std::allocator<unsigned int> > >",2,0.03,2,0.03,482,0,482,0,
"std::_Uninit_move<unsigned int,unsigned int,unsigned int>",2,0.03,2,0.03,469,0,469,0,
"std::_Uninit_move<unsigned int,unsigned int,unsigned int>",2,0.03,2,0.03,474,0,474,0,
"std::_Uninitialized_copy<unsigned int *,unsigned int *,std::_Wrap_alloc<std::allocator<unsigned int> > >",2,0.03,2,0.03,424,0,424,0,
"std::_Val_type<std::_Loop_vals_t *>",2,0.03,2,0.03,645,0,645,0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Inc",2,0.03,2,0.03,"2,167",0,"2,167",0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",2,0.03,61,0.83,"2,005",0,"2,005",0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator+=",2,0.03,2,0.03,"2,040",0,"2,040",0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator+=",2,0.03,2,0.03,"2,050",0,"2,050",0,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",2,0.03,2,0.03,"1,874",0,"1,874",0,
"std::_Vb_reference<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Getptr",2,0.03,2,0.03,"1,946",0,"1,946",0,
"std::_Vb_val<std::allocator<bool> >::_Vb_val<std::allocator<bool> >",2,0.03,421,5.70,"2,330",0,"2,330",0,
"std::_Vb_val<std::allocator<bool> >::~_Vb_val<std::allocator<bool> >",2,0.03,2,0.03,"2,358",0,"2,358",0,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Alloc_proxy",2,0.03,45,0.61,624,0,624,0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Alloc_proxy",2,0.03,43,0.58,625,0,625,0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Free_proxy",2,0.03,2,0.03,637,0,637,0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Getal",2,0.03,86,1.16,642,0,642,0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::~_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >",2,0.03,2,0.03,607,0,607,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",2,0.03,8,0.11,47,0,47,0,
"std::_Wrap_alloc<std::allocator<char> >::_Wrap_alloc<std::allocator<char> >",2,0.03,7,0.09,801,0,801,0,
"std::_Wrap_alloc<std::allocator<char> >::allocate",2,0.03,2,0.03,846,0,846,0,
"std::_Wrap_alloc<std::allocator<char> >::construct<char *,char * &>",2,0.03,2,0.03,868,0,868,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::allocate",2,0.03,2,0.03,848,0,848,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",2,0.03,79,1.07,872,0,872,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",2,0.03,2,0.03,873,0,873,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::deallocate",2,0.03,143,1.93,858,0,858,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::deallocate",2,0.03,2,0.03,859,0,859,0,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",2,0.03,2,0.03,802,0,802,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::allocate",2,0.03,2,0.03,846,0,846,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::construct<AutoCompleteManager::Entry,AutoCompleteManager::Entry>",2,0.03,2,0.03,868,0,868,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::allocate",2,0.03,2,0.03,846,0,846,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::destroy<std::_Tree_node<wxString,void *> *>",2,0.03,2,0.03,877,0,877,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::_Wrap_alloc<std::allocator<unsigned int> >",2,0.03,5,0.07,802,0,802,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::select_on_container_copy_construction",2,0.03,2,0.03,778,0,778,0,
"std::addressof<std::_Tree_node<AutoCompleteManager::Entry,void *> *>",2,0.03,2,0.03,92,0,92,0,
"std::addressof<std::_Tree_node<wxString,void *> *>",2,0.03,2,0.03,92,0,92,0,
"std::addressof<wxString>",2,0.03,2,0.03,92,0,92,0,
"std::allocator_traits<std::allocator<char> >::max_size",2,0.03,2,0.03,736,0,736,0,
"std::allocator_traits<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",2,0.03,61,0.83,723,0,723,0,
"std::allocator_traits<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::construct<std::_Tree_node<AutoCompleteManager::Entry,void *> *,std::_Tree_node<AutoCompleteManager::Entry,void *> * &>",2,0.03,2,0.03,720,0,720,0,
"std::allocator_traits<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::max_size",2,0.03,2,0.03,734,0,734,0,
"std::allocator_traits<std::allocator<unsigned int> >::max_size",2,0.03,2,0.03,736,0,736,0,
"std::allocator<bool>::allocator<bool><unsigned int>",2,0.03,2,0.03,563,0,563,0,
"std::allocator<char>::max_size",2,0.03,2,0.03,611,0,611,0,
"std::allocator<std::_Container_proxy>::allocator<std::_Container_proxy>",2,0.03,2,0.03,554,0,554,0,
"std::allocator<std::_Loop_vals_t>::construct",2,0.03,2,0.03,587,0,587,0,
"std::allocator<std::_Loop_vals_t>::deallocate",2,0.03,2,0.03,572,0,572,0,
"std::allocator<std::_Loop_vals_t>::deallocate",2,0.03,5,0.07,573,0,573,0,
"std::allocator<std::_Loop_vals_t>::max_size",2,0.03,2,0.03,611,0,611,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::allocator<std::_Tgt_state_t<char const *>::_Grp_t>",2,0.03,2,0.03,558,0,558,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::select_on_container_copy_construction",2,0.03,2,0.03,532,0,532,0,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::construct<AutoCompleteManager::Entry,AutoCompleteManager::Entry>",2,0.03,2,0.03,598,0,598,0,
"std::allocator<std::_Tree_node<wxString,void *> >::allocate",2,0.03,2,0.03,577,0,577,0,
"std::allocator<std::_Tree_node<wxString,void *> >::construct<std::_Tree_node<wxString,void *> *,std::_Tree_node<wxString,void *> * &>",2,0.03,2,0.03,598,0,598,0,
"std::allocator<Symbol *>::allocator<Symbol *>",2,0.03,2,0.03,552,0,552,0,
"std::allocator<unsigned int>::allocator<unsigned int>",2,0.03,2,0.03,554,0,554,0,
"std::basic_regex<char,std::regex_traits<char> >::_Empty",2,0.03,2,0.03,"2,486",0,"2,486",0,
"std::basic_regex<char,std::regex_traits<char> >::flags",2,0.03,2,0.03,"2,456",0,"2,456",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",2,0.03,2,0.03,"2,205",0,"2,205",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::max_size",2,0.03,2,0.03,"1,758",0,"1,758",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::max_size",2,0.03,2,0.03,"1,760",0,"1,760",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::replace",2,0.03,2,0.03,"1,446",0,"1,446",0,
"std::char_traits<char>::assign",2,0.03,2,0.03,563,0,563,0,
"std::char_traits<char>::length",2,0.03,3,0.04,523,0,523,0,
"std::forward<std::_Container_proxy>",2,0.03,2,0.03,"1,505",0,"1,505",0,
"std::forward<std::_Tree_node<wxString,void *> * &>",2,0.03,2,0.03,"1,506",0,"1,506",0,
"std::forward<wxString const &>",2,0.03,2,0.03,"1,504",0,"1,504",0,
"std::locale::locale",2,0.03,6,0.08,329,0,329,0,
"std::operator!=<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",2,0.03,16,0.22,901,0,901,0,
"std::operator==<std::allocator<unsigned int>,std::allocator<unsigned int> >",2,0.03,2,0.03,892,0,892,0,
"std::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >,bool>::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >,bool><std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >,bool,void>",2,0.03,7,0.09,144,0,144,0,
"std::regex_constants::operator|",2,0.03,2,0.03,171,0,171,0,
"std::vector<bool,std::allocator<bool> >::_Orphan_range",2,0.03,2,0.03,"2,957",0,"2,957",0,
"std::vector<bool,std::allocator<bool> >::begin",2,0.03,2,0.03,"2,578",0,"2,578",0,
"std::vector<bool,std::allocator<bool> >::max_size",2,0.03,2,0.03,"2,674",0,"2,674",0,
"std::vector<bool,std::allocator<bool> >::operator[]",2,0.03,2,0.03,"2,712",0,"2,712",0,
"std::vector<bool,std::allocator<bool> >::resize",2,0.03,2,0.03,"2,661",0,"2,661",0,
"std::vector<bool,std::allocator<bool> >::vector<bool,std::allocator<bool> >",2,0.03,108,1.46,"2,444",0,"2,444",0,
"std::vector<Project::File *,std::allocator<Project::File *> >::size",2,0.03,2,0.03,"1,148",0,"1,148",0,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::_Reallocate",2,0.03,2,0.03,"1,587",0,"1,587",0,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::_Tidy",2,0.03,2,0.03,"1,622",0,"1,622",0,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::_Umove<std::_Loop_vals_t *>",2,0.03,2,0.03,"1,644",0,"1,644",0,
