函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"std::_Allocate<std::_Tgt_state_t<char const *>::_Grp_t>",22,0.30,42,0.57,28,0,28,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",22,0.30,22,0.30,868,0,868,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Insert_nohint<AutoCompleteManager::Entry,std::_Nil>",21,0.28,"1,029",13.92,"1,793",0,"1,793",0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::~_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",21,0.28,74,1.00,0,0,0,0,
"std::allocator<std::_Container_proxy>::allocator<std::_Container_proxy>",21,0.28,21,0.28,552,0,552,0,
"std::forward<AutoCompleteManager::Entry>",21,0.28,21,0.28,"1,504",0,"1,504",0,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",20,0.27,137,1.85,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",19,0.26,109,1.47,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",19,0.26,115,1.56,0,0,0,0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Next",19,0.26,19,0.26,"4,886",0,"4,886",0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",19,0.26,142,1.92,0,0,0,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::deallocate",19,0.26,19,0.26,857,0,857,0,
"std::allocator<std::_Container_proxy>::allocate",19,0.26,19,0.26,577,0,577,0,
"std::vector<Symbol *,std::allocator<Symbol *> >::size",19,0.26,19,0.26,"1,147",0,"1,147",0,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",18,0.24,154,2.08,0,0,0,0,
"std::allocator<std::_Container_proxy>::construct<std::_Container_proxy,std::_Container_proxy>",18,0.24,18,0.24,598,0,598,0,
"_RTC_CheckStackVars",17,0.23,17,0.23,69,0,69,0,
"std::_Iterator_base12::_Orphan_me",17,0.23,22,0.30,206,0,206,0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Trans",17,0.23,17,0.23,"4,812",0,"4,812",0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Parent",17,0.23,17,0.23,593,0,593,0,
"std::regex_constants::operator&",17,0.23,17,0.23,150,0,150,0,
"?MakeLower@wxString@@QAEAAV1@XZ",16,0.22,218,2.95,0,0,0,0,
"std::_Iterator_base12::_Orphan_me",16,0.22,16,0.22,197,0,197,0,
"std::_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>::~_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>",16,0.22,89,1.20,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>",16,0.22,73,0.99,0,0,0,0,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",16,0.22,126,1.70,0,0,0,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",16,0.22,98,1.33,0,0,0,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::deallocate",16,0.22,47,0.64,573,0,573,0,
"IsSpace",15,0.20,18,0.24,38,0,38,0,
