函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",115,19,1.56,0.26,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Parent",19,19,0.26,0.26,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",142,19,1.92,0.26,
"std::allocator<std::_Container_proxy>::allocate",151,19,2.04,0.26,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",154,18,2.08,0.24,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::_Match_pat","1,604",17,21.70,0.23,
"std::regex_constants::operator&",17,17,0.23,0.23,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::size",17,17,0.23,0.23,
"?MakeLower@wxString@@QAEAAV1@XZ",218,16,2.95,0.22,
"std::_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>::~_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>",89,16,1.20,0.22,
"std::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>",73,16,0.99,0.22,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",126,16,1.70,0.22,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",98,16,1.33,0.22,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::allocate",160,16,2.16,0.22,
"[KERNELBASE.dll]",117,15,1.58,0.20,
"std::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>",53,15,0.72,0.20,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",73,15,0.99,0.20,
"std::allocator<std::_Container_proxy>::deallocate",146,15,1.98,0.20,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<unsigned int> > >",28,14,0.38,0.19,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",74,14,1.00,0.19,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::~_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",87,14,1.18,0.19,
"wxStringBase::Init",14,14,0.19,0.19,
"?IsShared@wxStringData@@QBE_NXZ",13,13,0.18,0.18,
"std::_String_val<std::_Simple_types<char> >::_Myptr",16,13,0.22,0.18,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::allocator<std::_Tgt_state_t<char const *>::_Grp_t>",13,13,0.18,0.18,
"std::allocator<unsigned int>::max_size",13,13,0.18,0.18,
"[user32.DLL]","2,842",12,38.45,0.16,
"std::_Allocate<std::_Container_proxy>",132,12,1.79,0.16,
"std::_Ptr_cat<unsigned int,unsigned int>",16,12,0.22,0.16,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",80,12,1.08,0.16,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",68,12,0.92,0.16,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",141,12,1.91,0.16,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >",130,12,1.76,0.16,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::_Wrap_alloc<std::allocator<std::_Container_proxy> ><std::allocator<bool> >",16,12,0.22,0.16,
"std::allocator_traits<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>",24,12,0.32,0.16,
"std::allocator<bool>::allocator<bool><unsigned int>",12,12,0.16,0.16,
"std::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool>::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool><std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > > &,bool,void>",88,12,1.19,0.16,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::~vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",228,12,3.08,0.16,
"?AllocBuffer@wxStringBase@@IAE_NI@Z",80,11,1.08,0.15,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",20,11,0.27,0.15,
"std::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>",82,11,1.11,0.15,
"std::_Parser<char const *,char,std::regex_traits<char> >::_ClassAtom",41,11,0.55,0.15,
"std::_Tree_alloc<0,std::_Tree_base_types<AutoCompleteManager::Entry,std::allocator<AutoCompleteManager::Entry> > >::_Getal",24,11,0.32,0.15,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::~_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",129,11,1.75,0.15,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Root",17,11,0.23,0.15,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",138,11,1.87,0.15,
"std::_Vector_val<std::_Simple_types<unsigned int> >::~_Vector_val<std::_Simple_types<unsigned int> >",12,11,0.16,0.15,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>",35,11,0.47,0.15,
"std::allocator<std::_Container_proxy>::destroy<std::_Container_proxy>",11,11,0.15,0.15,
"std::allocator<unsigned int>::allocator<unsigned int>",11,11,0.15,0.15,
"std::vector<unsigned int,std::allocator<bool> >::_Buy",72,11,0.97,0.15,
"std::_Container_proxy::_Container_proxy",10,10,0.14,0.14,
"std::_Node_base::~_Node_base",10,10,0.14,0.14,
"std::allocator<std::_Tree_node<wxString,void *> >::allocator<std::_Tree_node<wxString,void *> >",10,10,0.14,0.14,
"std::set<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry> >::insert","1,750",10,23.68,0.14,
"std::vector<bool,std::allocator<bool> >::operator=",155,10,2.10,0.14,
"std::vector<unsigned int,std::allocator<bool> >::get_allocator",51,10,0.69,0.14,
"std::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>",59,9,0.80,0.12,
"std::_Ptr_cat<std::_Tgt_state_t<char const *>::_Grp_t,std::_Tgt_state_t<char const *>::_Grp_t>",12,9,0.16,0.12,
"std::_Rechecked<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *>",9,9,0.12,0.12,
"std::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >::~_String_const_iterator<std::_String_val<std::_Simple_types<char> > >",43,9,0.58,0.12,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",61,9,0.83,0.12,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::insert","1,733",9,23.45,0.12,
"std::allocator_traits<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",68,9,0.92,0.12,
"std::vector<bool,std::allocator<bool> >::size",9,9,0.12,0.12,
