类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Root","??_EwxBoxSizer@@UAEPAXI@Z","??_EwxBoxSizer@@UAEPAXI@Z",1,0,0.01,0.00,
"Caller","??_EwxBoxSizer@@UAEPAXI@Z","??1wxSizerItem@@UAE@XZ",1,0,0.01,0.00,
"Caller","??_EwxBoxSizer@@UAEPAXI@Z","?SetSizer@wxWindowBase@@QAEXPAVwxSizer@@_N@Z",1,0,0.01,0.00,
"Callee","??_EwxBoxSizer@@UAEPAXI@Z","??1wxBoxSizer@@UAE@XZ",1,0,0.01,0.00,
"Root","??_EwxSizerItem@@UAEPAXI@Z","??_EwxSizerItem@@UAEPAXI@Z",1,0,0.01,0.00,
"Caller","??_EwxSizerItem@@UAEPAXI@Z","??1wxSizer@@UAE@XZ",1,0,0.01,0.00,
"Callee","??_EwxSizerItem@@UAEPAXI@Z","??1wxSizerItem@@UAE@XZ",1,0,0.01,0.00,
"Root","??_EwxwxSizerItemListNode@@UAEPAXI@Z","??_EwxwxSizerItemListNode@@UAEPAXI@Z",1,1,0.01,0.01,
"Caller","??_EwxwxSizerItemListNode@@UAEPAXI@Z","?DoDeleteNode@wxListBase@@AAEXPAVwxNodeBase@@@Z",1,1,0.01,0.01,
"Root","??0wxAuiDefaultDockArt@@QAE@XZ","??0wxAuiDefaultDockArt@@QAE@XZ",19,0,0.26,0.00,
"Caller","??0wxAuiDefaultDockArt@@QAE@XZ","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z",19,0,0.26,0.00,
"Callee","??0wxAuiDefaultDockArt@@QAE@XZ","wxFont::wxFont",19,0,0.26,0.00,
"Root","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z",19,0,0.26,0.00,
"Caller","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z","MainFrame::MainFrame",19,0,0.26,0.00,
"Callee","??0wxAuiManager@@QAE@PAVwxWindow@@I@Z","??0wxAuiDefaultDockArt@@QAE@XZ",19,0,0.26,0.00,
"Root","??0wxClientDC@@QAE@PAVwxWindow@@@Z","??0wxClientDC@@QAE@PAVwxWindow@@@Z",1,0,0.01,0.00,
"Caller","??0wxClientDC@@QAE@PAVwxWindow@@@Z","wxTreeListMainWindow::SetItemText",1,0,0.01,0.00,
"Callee","??0wxClientDC@@QAE@PAVwxWindow@@@Z","?InitDC@wxClientDC@@IAEXXZ",1,0,0.01,0.00,
"Root","??0wxColourChanger@@QAE@AAVwxDC@@@Z","??0wxColourChanger@@QAE@AAVwxDC@@@Z",1,0,0.01,0.00,
"Caller","??0wxColourChanger@@QAE@AAVwxDC@@@Z","?DoDrawRectangle@wxDC@@MAEXHHHH@Z",1,0,0.01,0.00,
"Callee","??0wxColourChanger@@QAE@AAVwxDC@@@Z","?Ok@wxBrush@@QBE_NXZ",1,1,0.01,0.01,
"Root","??0wxDC@@QAE@PAX@Z","??0wxDC@@QAE@PAX@Z",1,0,0.01,0.00,
"Caller","??0wxDC@@QAE@PAX@Z","??0wxDCTemp@@QAE@PAXABVwxSize@@@Z",1,0,0.01,0.00,
"Callee","??0wxDC@@QAE@PAX@Z","wxDCBase::wxDCBase",1,0,0.01,0.00,
"Root","??0wxDCTemp@@QAE@PAXABVwxSize@@@Z","??0wxDCTemp@@QAE@PAXABVwxSize@@@Z",1,0,0.01,0.00,
"Caller","??0wxDCTemp@@QAE@PAXABVwxSize@@@Z","?HandleEraseBkgnd@wxWindow@@QAE_NPAX@Z",1,0,0.01,0.00,
"Callee","??0wxDCTemp@@QAE@PAXABVwxSize@@@Z","??0wxDC@@QAE@PAX@Z",1,0,0.01,0.00,
"Root","??0wxImage@@QAE@PBQBD@Z","??0wxImage@@QAE@PBQBD@Z",2,0,0.03,0.00,
"Caller","??0wxImage@@QAE@PBQBD@Z","ProjectExplorerWindow::ProjectExplorerWindow",2,0,0.03,0.00,
"Callee","??0wxImage@@QAE@PBQBD@Z","?Create@wxImage@@QAE_NPBQBD@Z",2,0,0.03,0.00,
"Root","??0wxInitializer@@QAE@HPAPAD@Z","??0wxInitializer@@QAE@HPAPAD@Z",1,0,0.01,0.00,
"Caller","??0wxInitializer@@QAE@HPAPAD@Z","?wxEntryReal@@YAHAAHPAPAD@Z",1,0,0.01,0.00,
"Callee","??0wxInitializer@@QAE@HPAPAD@Z","?wxInitialize@@YA_NHPAPAD@Z",1,0,0.01,0.00,
"Root","??0wxKeyEvent@@QAE@H@Z","??0wxKeyEvent@@QAE@H@Z",1,1,0.01,0.01,
"Caller","??0wxKeyEvent@@QAE@H@Z","??0wxTreeEvent@@QAE@HPAVwxTreeCtrlBase@@ABVwxTreeItemId@@@Z",1,1,0.01,0.01,
"Root","??0wxPen@@QAE@XZ","??0wxPen@@QAE@XZ",1,1,0.01,0.01,
"Caller","??0wxPen@@QAE@XZ","wxDCBase::wxDCBase",1,1,0.01,0.01,
"Root","??0wxPrintPaperDatabase@@QAE@XZ","??0wxPrintPaperDatabase@@QAE@XZ",1,0,0.01,0.00,
"Caller","??0wxPrintPaperDatabase@@QAE@XZ","?OnInit@wxPrintPaperModule@@UAE_NXZ",1,0,0.01,0.00,
"Callee","??0wxPrintPaperDatabase@@QAE@XZ","??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z",1,0,0.01,0.00,
"Root","??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z","??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z",1,0,0.01,0.00,
"Caller","??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z","??0wxPrintPaperDatabase@@QAE@XZ",1,0,0.01,0.00,
"Callee","??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z","??0wxStringToPrintPaperTypeHashMap_wxImplementation_HashTable@@QAE@IABVwxStringHash@@ABVwxStringEqual@@ABVwxStringToPrintPaperTypeHashMap_wxImplementation_KeyEx@@@Z",1,0,0.01,0.00,
"Root","??0wxStringToPrintPaperTypeHashMap_wxImplementation_HashTable@@QAE@IABVwxStringHash@@ABVwxStringEqual@@ABVwxStringToPrintPaperTypeHashMap_wxImplementation_KeyEx@@@Z","??0wxStringToPrintPaperTypeHashMap_wxImplementation_HashTable@@QAE@IABVwxStringHash@@ABVwxStringEqual@@ABVwxStringToPrintPaperTypeHashMap_wxImplementation_KeyEx@@@Z",1,0,0.01,0.00,
"Caller","??0wxStringToPrintPaperTypeHashMap_wxImplementation_HashTable@@QAE@IABVwxStringHash@@ABVwxStringEqual@@ABVwxStringToPrintPaperTypeHashMap_wxImplementation_KeyEx@@@Z","??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z",1,0,0.01,0.00,
"Callee","??0wxStringToPrintPaperTypeHashMap_wxImplementation_HashTable@@QAE@IABVwxStringHash@@ABVwxStringEqual@@ABVwxStringToPrintPaperTypeHashMap_wxImplementation_KeyEx@@@Z","_wxHashTableBase2::AllocTable",1,0,0.01,0.00,
"Root","??0wxTreeEvent@@QAE@HPAVwxTreeCtrlBase@@ABVwxTreeItemId@@@Z","??0wxTreeEvent@@QAE@HPAVwxTreeCtrlBase@@ABVwxTreeItemId@@@Z",1,0,0.01,0.00,
"Caller","??0wxTreeEvent@@QAE@HPAVwxTreeCtrlBase@@ABVwxTreeItemId@@@Z","?MSWOnNotify@wxTreeCtrl@@UAE_NHJPAJ@Z",1,0,0.01,0.00,
"Callee","??0wxTreeEvent@@QAE@HPAVwxTreeCtrlBase@@ABVwxTreeItemId@@@Z","??0wxKeyEvent@@QAE@H@Z",1,1,0.01,0.01,
"Root","??1wxAppPtrBase@@QAE@XZ","??1wxAppPtrBase@@QAE@XZ",1,0,0.01,0.00,
"Caller","??1wxAppPtrBase@@QAE@XZ","?wxEntryStart@@YA_NAAHPAPAD@Z",1,0,0.01,0.00,
"Callee","??1wxAppPtrBase@@QAE@XZ","?InitializeModules@wxModule@@SA_NXZ",1,0,0.01,0.00,
"Root","??1wxArrayString@@QAE@XZ","??1wxArrayString@@QAE@XZ",1,0,0.01,0.00,
"Caller","??1wxArrayString@@QAE@XZ","wxFileName::~wxFileName",1,0,0.01,0.00,
"Callee","??1wxArrayString@@QAE@XZ","?Free@wxArrayString@@AAEXXZ",1,0,0.01,0.00,
"Root","??1wxBoxSizer@@UAE@XZ","??1wxBoxSizer@@UAE@XZ",1,0,0.01,0.00,
"Caller","??1wxBoxSizer@@UAE@XZ","??_EwxBoxSizer@@UAEPAXI@Z",1,0,0.01,0.00,
"Callee","??1wxBoxSizer@@UAE@XZ","??1wxSizer@@UAE@XZ",1,0,0.01,0.00,
"Root","??1wxBrush@@UAE@XZ","??1wxBrush@@UAE@XZ",1,0,0.01,0.00,
"Caller","??1wxBrush@@UAE@XZ","?InitDC@wxWindowDC@@IAEXXZ",1,0,0.01,0.00,
"Callee","??1wxBrush@@UAE@XZ","wxBrushBase::~wxBrushBase",1,1,0.01,0.01,
"Root","??1wxEventPtr@@QAE@XZ","??1wxEventPtr@@QAE@XZ",1,1,0.01,0.01,
"Caller","??1wxEventPtr@@QAE@XZ","?ProcessPendingEvents@wxEvtHandler@@QAEXXZ",1,1,0.01,0.01,
"Root","??1wxMemoryInputStream@@UAE@XZ","??1wxMemoryInputStream@@UAE@XZ",1,1,0.01,0.01,
"Caller","??1wxMemoryInputStream@@UAE@XZ","_wxConvertMemoryToBitmap",1,1,0.01,0.01,
"Root","??1wxPen@@UAE@XZ","??1wxPen@@UAE@XZ",2,0,0.03,0.00,
"Caller","??1wxPen@@UAE@XZ","?wxAuiBitmapFromBits@@YA?AVwxBitmap@@QBEHHABVwxColour@@@Z",2,0,0.03,0.00,
"Callee","??1wxPen@@UAE@XZ","wxGDIObject::~wxGDIObject",2,0,0.03,0.00,
"Root","??1wxSizer@@UAE@XZ","??1wxSizer@@UAE@XZ",1,0,0.01,0.00,
"Caller","??1wxSizer@@UAE@XZ","??1wxBoxSizer@@UAE@XZ",1,0,0.01,0.00,
"Callee","??1wxSizer@@UAE@XZ","??_EwxSizerItem@@UAEPAXI@Z",1,0,0.01,0.00,
"Callee","??1wxSizer@@UAE@XZ","?clear@wxSizerItemList@@QAEXXZ",1,0,0.01,0.00,
"Root","??1wxSizerItem@@UAE@XZ","??1wxSizerItem@@UAE@XZ",1,0,0.01,0.00,
"Caller","??1wxSizerItem@@UAE@XZ","??_EwxSizerItem@@UAEPAXI@Z",1,0,0.01,0.00,
"Callee","??1wxSizerItem@@UAE@XZ","??_EwxBoxSizer@@UAEPAXI@Z",1,0,0.01,0.00,
"Root","??1wxWindow@@UAE@XZ","??1wxWindow@@UAE@XZ",1,0,0.01,0.00,
"Caller","??1wxWindow@@UAE@XZ","未知",1,0,0.01,0.00,
"Callee","??1wxWindow@@UAE@XZ","[user32.DLL]",1,0,0.01,0.00,
"Root","??4wxStringBase@@QAEAAV0@ABV0@@Z","??4wxStringBase@@QAEAAV0@ABV0@@Z",80,3,1.08,0.04,
"Caller","??4wxStringBase@@QAEAAV0@ABV0@@Z","wxString::operator=",80,3,1.08,0.04,
"Callee","??4wxStringBase@@QAEAAV0@ABV0@@Z","@ILT+37035(__RTC_CheckEsp)",1,1,0.01,0.01,
"Callee","??4wxStringBase@@QAEAAV0@ABV0@@Z","wxStringBase::GetStringData",26,26,0.35,0.35,
"Callee","??4wxStringBase@@QAEAAV0@ABV0@@Z","wxStringData::IsEmpty",9,9,0.12,0.12,
"Callee","??4wxStringBase@@QAEAAV0@ABV0@@Z","wxStringData::IsValid",9,9,0.12,0.12,
"Callee","??4wxStringBase@@QAEAAV0@ABV0@@Z","wxStringData::Lock",15,6,0.20,0.08,
"Callee","??4wxStringBase@@QAEAAV0@ABV0@@Z","wxStringData::Unlock",17,9,0.23,0.12,
"Root","??4wxStringBase@@QAEAAV0@D@Z","??4wxStringBase@@QAEAAV0@D@Z",15,0,0.20,0.00,
"Caller","??4wxStringBase@@QAEAAV0@D@Z","wxString::operator=",15,0,0.20,0.00,
"Callee","??4wxStringBase@@QAEAAV0@D@Z","?AssignCopy@wxStringBase@@IAE_NIPBD@Z",14,1,0.19,0.01,
"Callee","??4wxStringBase@@QAEAAV0@D@Z","@ILT+22935(?AssignCopy@wxStringBase@@IAE_NIPBD@Z)",1,1,0.01,0.01,
"Root","??H@YA?AVwxString@@ABV0@PBD@Z","??H@YA?AVwxString@@ABV0@PBD@Z",17,1,0.23,0.01,
"Caller","??H@YA?AVwxString@@ABV0@PBD@Z","PeekToken",17,1,0.23,0.01,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","?Alloc@wxString@@QAE_NI@Z",5,1,0.07,0.01,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","wxString::~wxString",1,1,0.01,0.01,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","wxString::operator+=",1,0,0.01,0.00,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","wxString::operator+=",4,1,0.05,0.01,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","wxString::wxString",2,1,0.03,0.01,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","wxString::wxString",2,1,0.03,0.01,
"Callee","??H@YA?AVwxString@@ABV0@PBD@Z","wxStringData::IsValid",1,1,0.01,0.01,
"Root","?AddPendingEvent@wxEvtHandler@@QAEXAAVwxEvent@@@Z","?AddPendingEvent@wxEvtHandler@@QAEXAAVwxEvent@@@Z",1,0,0.01,0.00,
"Caller","?AddPendingEvent@wxEvtHandler@@QAEXAAVwxEvent@@@Z","SymbolParser::OnSymbolsParsed",1,0,0.01,0.00,
"Callee","?AddPendingEvent@wxEvtHandler@@QAEXAAVwxEvent@@@Z","SymbolParserEvent::Clone",1,0,0.01,0.00,
"Root","?AfterLast@wxString@@QBE?AV1@D@Z","?AfterLast@wxString@@QBE?AV1@D@Z",1,0,0.01,0.00,
"Caller","?AfterLast@wxString@@QBE?AV1@D@Z","KeyBinder::GetTextAsKeyBinding",1,0,0.01,0.00,
"Callee","?AfterLast@wxString@@QBE?AV1@D@Z","wxString::operator=",1,1,0.01,0.01,
"Root","?Alloc@wxFontRefData@@QAE_NPAVwxFont@@@Z","?Alloc@wxFontRefData@@QAE_NPAVwxFont@@@Z",19,0,0.26,0.00,
"Caller","?Alloc@wxFontRefData@@QAE_NPAVwxFont@@@Z","?RealizeResource@wxFont@@UAE_NXZ",19,0,0.26,0.00,
"Callee","?Alloc@wxFontRefData@@QAE_NPAVwxFont@@@Z","?wxFillLogFont@@YAXPAUtagLOGFONTA@@PBVwxFont@@@Z",19,0,0.26,0.00,
"Root","?Alloc@wxString@@QAE_NI@Z","?Alloc@wxString@@QAE_NI@Z",5,1,0.07,0.01,
"Caller","?Alloc@wxString@@QAE_NI@Z","??H@YA?AVwxString@@ABV0@PBD@Z",5,1,0.07,0.01,
"Callee","?Alloc@wxString@@QAE_NI@Z","wxStringBase::reserve",4,1,0.05,0.01,
"Root","?Alloc@wxStringBase@@IAE_NI@Z","?Alloc@wxStringBase@@IAE_NI@Z",13,3,0.18,0.04,
"Caller","?Alloc@wxStringBase@@IAE_NI@Z","?append@wxStringBase@@QAEAAV1@ID@Z",10,2,0.14,0.03,
"Caller","?Alloc@wxStringBase@@IAE_NI@Z","wxStringBase::reserve",3,1,0.04,0.01,
"Callee","?Alloc@wxStringBase@@IAE_NI@Z","[MSVCR120D.dll]",6,0,0.08,0.00,
"Callee","?Alloc@wxStringBase@@IAE_NI@Z","wxStringBase::GetStringData",4,4,0.05,0.05,
"Root","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z",13,0,0.18,0.00,
"Caller","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","?AssignCopy@wxStringBase@@IAE_NIPBD@Z",12,0,0.16,0.00,
"Caller","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","?GetWriteBuf@wxString@@QAEPADI@Z",1,0,0.01,0.00,
"Callee","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","?AllocBuffer@wxStringBase@@IAE_NI@Z",7,1,0.09,0.01,
"Callee","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","[MSVCR120D.dll]",1,0,0.01,0.00,
"Callee","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","wxStringBase::GetStringData",1,1,0.01,0.01,
"Callee","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z","wxStringData::Unlock",4,1,0.05,0.01,
"Root","?AllocBuffer@wxStringBase@@IAE_NI@Z","?AllocBuffer@wxStringBase@@IAE_NI@Z",80,11,1.08,0.15,
"Caller","?AllocBuffer@wxStringBase@@IAE_NI@Z","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z",7,1,0.09,0.01,
"Caller","?AllocBuffer@wxStringBase@@IAE_NI@Z","?CopyBeforeWrite@wxStringBase@@IAE_NXZ",72,10,0.97,0.14,
"Caller","?AllocBuffer@wxStringBase@@IAE_NI@Z","?InitWith@wxStringBase@@IAEXPBDII@Z",1,0,0.01,0.00,
"Callee","?AllocBuffer@wxStringBase@@IAE_NI@Z","?data@wxStringData@@QBEPADXZ",4,4,0.05,0.05,
"Callee","?AllocBuffer@wxStringBase@@IAE_NI@Z","@ILT+74240(?data@wxStringData@@QBEPADXZ)",1,1,0.01,0.01,
"Callee","?AllocBuffer@wxStringBase@@IAE_NI@Z","[MSVCR120D.dll]",64,1,0.87,0.01,
"Root","?AllocSpaceWBack@wxInputStream@@IAEPADI@Z","?AllocSpaceWBack@wxInputStream@@IAEPADI@Z",61,4,0.83,0.05,
"Caller","?AllocSpaceWBack@wxInputStream@@IAEPADI@Z","?Ungetch@wxInputStream@@QAEIPBXI@Z",61,4,0.83,0.05,
"Callee","?AllocSpaceWBack@wxInputStream@@IAEPADI@Z","[MSVCR120D.dll]",55,2,0.74,0.03,
"Callee","?AllocSpaceWBack@wxInputStream@@IAEPADI@Z","_RTC_CheckEsp",2,2,0.03,0.03,
"Root","?AllowProcessing@wxEventLoop@@SA_NPAVwxWindow@@@Z","?AllowProcessing@wxEventLoop@@SA_NPAVwxWindow@@@Z",1,1,0.01,0.01,
"Caller","?AllowProcessing@wxEventLoop@@SA_NPAVwxWindow@@@Z","?wxWndProc@@YGJPAUHWND__@@IIJ@Z",1,1,0.01,0.01,
"Root","?append@wxString@@QAEAAV1@PBDI@Z","?append@wxString@@QAEAAV1@PBDI@Z",3,0,0.04,0.00,
"Caller","?append@wxString@@QAEAAV1@PBDI@Z","?erase@wxStringBase@@QAEAAV1@II@Z",3,0,0.04,0.00,
"Callee","?append@wxString@@QAEAAV1@PBDI@Z","?append@wxStringBase@@QAEAAV1@PBDI@Z",2,1,0.03,0.01,
"Callee","?append@wxString@@QAEAAV1@PBDI@Z","@ILT+88570(?append@wxStringBase@@QAEAAV1@PBDI@Z)",1,1,0.01,0.01,
"Root","?append@wxStringBase@@QAEAAV1@ID@Z","?append@wxStringBase@@QAEAAV1@ID@Z",31,3,0.42,0.04,
"Caller","?append@wxStringBase@@QAEAAV1@ID@Z","[ntdll.dll]",1,0,0.01,0.00,
"Caller","?append@wxStringBase@@QAEAAV1@ID@Z","wxString::append",28,3,0.38,0.04,
"Caller","?append@wxStringBase@@QAEAAV1@ID@Z","wxStringBase::operator+=",2,0,0.03,0.00,
"Callee","?append@wxStringBase@@QAEAAV1@ID@Z","?Alloc@wxStringBase@@IAE_NI@Z",10,2,0.14,0.03,
"Callee","?append@wxStringBase@@QAEAAV1@ID@Z","?CopyBeforeWrite@wxStringBase@@IAE_NXZ",9,0,0.12,0.00,
"Callee","?append@wxStringBase@@QAEAAV1@ID@Z","[ntdll.dll]",1,1,0.01,0.01,
"Callee","?append@wxStringBase@@QAEAAV1@ID@Z","wxStringBase::GetStringData",1,1,0.01,0.01,
"Callee","?append@wxStringBase@@QAEAAV1@ID@Z","wxStringBase::length",7,3,0.09,0.04,
"Root","?append@wxStringBase@@QAEAAV1@PBDI@Z","?append@wxStringBase@@QAEAAV1@PBDI@Z",2,1,0.03,0.01,
"Caller","?append@wxStringBase@@QAEAAV1@PBDI@Z","?append@wxString@@QAEAAV1@PBDI@Z",2,1,0.03,0.01,
"Callee","?append@wxStringBase@@QAEAAV1@PBDI@Z","wxStringBase::ConcatSelf",1,1,0.01,0.01,
"Root","?Assign@wxFileName@@QAEXABVwxString@@000_NW4wxPathFormat@@@Z","?Assign@wxFileName@@QAEXABVwxString@@000_NW4wxPathFormat@@@Z",4,0,0.05,0.00,
"Caller","?Assign@wxFileName@@QAEXABVwxString@@000_NW4wxPathFormat@@@Z","?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z",4,0,0.05,0.00,
"Callee","?Assign@wxFileName@@QAEXABVwxString@@000_NW4wxPathFormat@@@Z","?SetPath@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z",4,0,0.05,0.00,
"Root","?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z","?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z",4,0,0.05,0.00,
"Caller","?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z","wxFileName::operator=",1,0,0.01,0.00,
"Caller","?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z","wxFileName::wxFileName",3,0,0.04,0.00,
"Callee","?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z","?Assign@wxFileName@@QAEXABVwxString@@000_NW4wxPathFormat@@@Z",4,0,0.05,0.00,
"Root","?assign@wxString@@QAEAAV1@ABV1@II@Z","?assign@wxString@@QAEAAV1@ABV1@II@Z",1,0,0.01,0.00,
"Caller","?assign@wxString@@QAEAAV1@ABV1@II@Z","?GetNextToken@wxStringTokenizer@@QAE?AVwxString@@XZ",1,0,0.01,0.00,
"Callee","?assign@wxString@@QAEAAV1@ABV1@II@Z","?assign@wxStringBase@@QAEAAV1@ABV1@II@Z",1,0,0.01,0.00,
"Root","?assign@wxStringBase@@QAEAAV1@ABV1@II@Z","?assign@wxStringBase@@QAEAAV1@ABV1@II@Z",1,0,0.01,0.00,
"Caller","?assign@wxStringBase@@QAEAAV1@ABV1@II@Z","?assign@wxString@@QAEAAV1@ABV1@II@Z",1,0,0.01,0.00,
"Callee","?assign@wxStringBase@@QAEAAV1@ABV1@II@Z","wxStringBase::clear",1,0,0.01,0.00,
"Root","?AssignCopy@wxStringBase@@IAE_NIPBD@Z","?AssignCopy@wxStringBase@@IAE_NIPBD@Z",14,1,0.19,0.01,
"Caller","?AssignCopy@wxStringBase@@IAE_NIPBD@Z","??4wxStringBase@@QAEAAV0@D@Z",14,1,0.19,0.01,
"Callee","?AssignCopy@wxStringBase@@IAE_NIPBD@Z","?AllocBeforeWrite@wxStringBase@@IAE_NI@Z",12,0,0.16,0.00,
"Callee","?AssignCopy@wxStringBase@@IAE_NIPBD@Z","wxStringBase::GetStringData",1,1,0.01,0.01,
"Root","?begin@wxStringBase@@QAEPADXZ","?begin@wxStringBase@@QAEPADXZ",146,1,1.98,0.01,
"Caller","?begin@wxStringBase@@QAEPADXZ","?erase@wxStringBase@@QAEPADPAD0@Z",5,0,0.07,0.00,
"Caller","?begin@wxStringBase@@QAEPADXZ","?MakeLower@wxString@@QAEAAV1@XZ",139,1,1.88,0.01,
"Caller","?begin@wxStringBase@@QAEPADXZ","?Truncate@wxString@@QAEAAV1@I@Z",2,0,0.03,0.00,
"Callee","?begin@wxStringBase@@QAEPADXZ","?CopyBeforeWrite@wxStringBase@@IAE_NXZ",123,2,1.66,0.03,
"Callee","?begin@wxStringBase@@QAEPADXZ","wxStringBase::length",22,10,0.30,0.14,
"Root","?CanUpdate@wxUpdateUIEvent@@SA_NPAVwxWindowBase@@@Z","?CanUpdate@wxUpdateUIEvent@@SA_NPAVwxWindowBase@@@Z",2,0,0.03,0.00,
"Caller","?CanUpdate@wxUpdateUIEvent@@SA_NPAVwxWindowBase@@@Z","?OnInternalIdle@wxWindow@@UAEXXZ",2,0,0.03,0.00,
"Callee","?CanUpdate@wxUpdateUIEvent@@SA_NPAVwxWindowBase@@@Z","_RTC_CheckStackVars",2,2,0.03,0.03,
"Root","?Clear@wxListBase@@QAEXXZ","?Clear@wxListBase@@QAEXXZ",1,0,0.01,0.00,
"Caller","?Clear@wxListBase@@QAEXXZ","?clear@wxSizerItemList@@QAEXXZ",1,0,0.01,0.00,
"Callee","?Clear@wxListBase@@QAEXXZ","?DoDeleteNode@wxListBase@@AAEXPAVwxNodeBase@@@Z",1,0,0.01,0.00,
"Root","?clear@wxSizerItemList@@QAEXXZ","?clear@wxSizerItemList@@QAEXXZ",1,0,0.01,0.00,
"Caller","?clear@wxSizerItemList@@QAEXXZ","??1wxSizer@@UAE@XZ",1,0,0.01,0.00,
"Callee","?clear@wxSizerItemList@@QAEXXZ","?Clear@wxListBase@@QAEXXZ",1,0,0.01,0.00,
"Root","?Cmp@wxString@@QBEHPBD@Z","?Cmp@wxString@@QBEHPBD@Z",33,2,0.45,0.03,
"Caller","?Cmp@wxString@@QBEHPBD@Z","operator==",18,2,0.24,0.03,
"Caller","?Cmp@wxString@@QBEHPBD@Z","wxString::IsSameAs",15,0,0.20,0.00,
"Callee","?Cmp@wxString@@QBEHPBD@Z","?compare@wxStringBase@@QBEHPBD@Z",31,1,0.42,0.01,
"Root","?compare@wxStringBase@@QBEHPBD@Z","?compare@wxStringBase@@QBEHPBD@Z",31,1,0.42,0.01,
"Caller","?compare@wxStringBase@@QBEHPBD@Z","?Cmp@wxString@@QBEHPBD@Z",31,1,0.42,0.01,
"Callee","?compare@wxStringBase@@QBEHPBD@Z","?data@wxStringBase@@QBEPBDXZ",2,2,0.03,0.03,
"Callee","?compare@wxStringBase@@QBEHPBD@Z","?Release@wxCArrayString@@QAEPAVwxString@@XZ",12,2,0.16,0.03,
"Callee","?compare@wxStringBase@@QBEHPBD@Z","_RTC_CheckEsp",1,1,0.01,0.01,
"Callee","?compare@wxStringBase@@QBEHPBD@Z","wxStringBase::length",7,4,0.09,0.05,
"Callee","?compare@wxStringBase@@QBEHPBD@Z","wxStrlen",8,7,0.11,0.09,
"Root","?Contains@wxRect@@QBE_NHH@Z","?Contains@wxRect@@QBE_NHH@Z",1,1,0.01,0.01,
"Caller","?Contains@wxRect@@QBE_NHH@Z","?HitTest@wxAuiManager@@IAEPAVwxAuiDockUIPart@@HH@Z",1,1,0.01,0.01,
"Root","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?CopyBeforeWrite@wxStringBase@@IAE_NXZ",169,7,2.29,0.09,
"Caller","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?append@wxStringBase@@QAEAAV1@ID@Z",9,0,0.12,0.00,
"Caller","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?begin@wxStringBase@@QAEPADXZ",123,2,1.66,0.03,
"Caller","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?end@wxStringBase@@QAEPADXZ",37,5,0.50,0.07,
"Callee","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?AllocBuffer@wxStringBase@@IAE_NI@Z",72,10,0.97,0.14,
"Callee","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?data@wxStringData@@QBEPADXZ",2,2,0.03,0.03,
"Callee","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?IsShared@wxStringData@@QBE_NXZ",13,13,0.18,0.18,
"Callee","?CopyBeforeWrite@wxStringBase@@IAE_NXZ","?wxTmemcpy@@YAPADPAXPBXI@Z",20,3,0.27,0.04,
