函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"wxStringBase::empty",20,0.27,0x016820DD,422,0,422,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Insert_nohint<AutoCompleteManager::Entry,std::_Nil>",19,0.26,0x01683748,"1,785",0,"1,785",0,
"std::forward<AutoCompleteManager::Entry>",19,0.26,0x0168460C,"1,504",0,"1,504",0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::_Wrap_alloc<std::allocator<std::_Container_proxy> >",18,0.24,0x0168BC4D,801,0,801,0,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",17,0.23,0x0177CA6D,0,0,0,0,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",17,0.23,0x01780AED,0,0,0,0,
"std::vector<unsigned int,std::allocator<bool> >::size",17,0.23,0x01799D8D,"1,147",0,"1,147",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Next",16,0.22,0x0179011D,"4,886",0,"4,886",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_Trans",16,0.22,0x01792E6D,"4,812",0,"4,812",0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::construct<std::_Container_proxy,std::_Container_proxy>",16,0.22,0x0168427D,868,0,868,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::deallocate",16,0.22,0x0179543C,573,0,573,0,
"wxStringBase::c_str",16,0.22,0x01688578,527,0,527,0,
"IsSpace",15,0.20,0x0179ED43,38,0,38,0,
"operator new",15,0.20,0x0167D84C,59,0,59,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::~_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",15,0.20,0x01780E2D,0,0,0,0,
"std::allocator<std::_Container_proxy>::allocator<std::_Container_proxy>",15,0.20,0x01679E9D,552,0,552,0,
"std::allocator<std::_Container_proxy>::construct<std::_Container_proxy,std::_Container_proxy>",15,0.20,0x01679A1B,598,0,598,0,
"[MSVCP120D.dll]",14,0.19,0x0F5ADF3B,0,0,0,0,
"std::_Allocate<unsigned int>",14,0.19,0x01688DA2,28,0,28,0,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",14,0.19,0x017803ED,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>",14,0.19,0x0178039D,0,0,0,0,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",14,0.19,0x01780A9D,0,0,0,0,
"std::regex_constants::operator&",14,0.19,0x01783E6C,150,0,150,0,
"_RTC_CheckStackVars",13,0.18,0x01B41FA0,67,0,67,0,
"std::_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>::~_Iterator012<std::bidirectional_iterator_tag,AutoCompleteManager::Entry,int,AutoCompleteManager::Entry const *,AutoCompleteManager::Entry const &,std::_Iterator_base12>",13,0.18,0x0168517D,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>",13,0.18,0x0168CA5D,0,0,0,0,
"std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >::_Parent",13,0.18,0x01687E3C,593,0,593,0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::~_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",13,0.18,0x01780A4D,0,0,0,0,
"std::allocator<std::_Container_proxy>::allocate",13,0.18,0x01681A6D,577,0,577,0,
"std::allocator<unsigned int>::max_size",13,0.18,0x0168EB0D,611,0,611,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::~_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",12,0.16,0x0168CB0D,0,0,0,0,
"wxStringBase::Init",12,0.16,0x0167FF3D,270,0,270,0,
"wxStringData::IsValid",12,0.16,0x01680419,249,0,249,0,
"[kernel32.dll]",11,0.15,0x755D14AD,0,0,0,0,
"[ntdll.dll]",11,0.15,0x77651D17,0,0,0,0,
"std::allocator<std::_Container_proxy>::deallocate",11,0.15,0x01681F6D,572,0,572,0,
"std::allocator<unsigned int>::deallocate",11,0.15,0x0168E97C,573,0,573,0,
"std::vector<Symbol *,std::allocator<Symbol *> >::size",11,0.15,0x01688A6D,"1,147",0,"1,147",0,
"wxStringData::IsEmpty",11,0.15,0x01680019,226,0,226,0,
"[MSVCR120D.dll]",10,0.14,0x0F104286,0,0,0,0,
"_RTC_CheckStackVars",10,0.14,0x01B41FA1,67,0,67,0,
"std::_Iterator_base12::_Orphan_me",10,0.14,0x01687BE9,194,0,194,0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_ClassAtom",10,0.14,0x017897FD,"5,046",0,"5,046",0,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",10,0.14,0x01684A0D,214,0,214,0,
